GOBPID,Pvalue,OddsRatio,ExpCount,Count,Size,Term,Category, Revigo_Eliminated
GO:0000003,0.01239498,5.638095238,0.966362126,4,13,reproduction,BP,FALSE
GO:0000226,0.003279449,5.119075145,1.561046512,6,21,microtubule cytoskeleton organization,BP,TRUE
GO:0001539,0.004345176,8.468571429,0.743355482,4,10,cilium or flagellum-dependent cell motility,BP,TRUE
GO:0001578,3.85E-06,38.61849711,0.594684385,6,8,microtubule bundle formation,BP,TRUE
GO:0003341,3.28E-06,14.85045948,1.115033223,8,15,cilium movement,BP,TRUE
GO:0005975,0.011585791,2.249156627,6.541528239,13,88,carbohydrate metabolic process,BP,FALSE
GO:0006183,0.029836651,12.5819209,0.297342193,2,4,GTP biosynthetic process,BP,FALSE
GO:0006228,0.029836651,12.5819209,0.297342193,2,4,UTP biosynthetic process,BP,FALSE
GO:0006241,0.047319039,8.384180791,0.371677741,2,5,CTP biosynthetic process,BP,TRUE
GO:0006468,0.001111449,2.268995098,11.81935216,23,159,protein phosphorylation,BP,FALSE
GO:0006793,0.022226208,1.52967033,26.09177741,36,351,phosphorus metabolic process,BP,FALSE
GO:0006796,0.018801362,1.552582466,25.79443522,36,347,phosphate-containing compound metabolic process,BP,TRUE
GO:0006811,0.000738574,2.747591087,7.359219269,17,99,ion transport,BP,FALSE
GO:0006812,0.02937273,2.080794818,5.872508306,11,79,cation transport,BP,TRUE
GO:0006813,0.042732307,4.732244318,0.81769103,3,11,potassium ion transport,BP,TRUE
GO:0006928,7.59E-09,6.394617522,4.683139535,20,63,movement of cell or subcellular component,BP,FALSE
GO:0007010,0.002948351,3.522994652,3.122093023,9,42,cytoskeleton organization,BP,FALSE
GO:0007017,3.56E-10,5.748570261,6.690199336,26,90,microtubule-based process,BP,FALSE
GO:0007018,3.57E-08,6.036918605,4.608803987,19,62,microtubule-based movement,BP,FALSE
GO:0007154,1.83E-09,4.193403028,10.92732558,33,147,cell communication,BP,FALSE
GO:0007165,1.83E-09,4.193403028,10.92732558,33,147,signal transduction,BP,TRUE
GO:0007186,0.000175904,8.206131078,1.338039867,7,18,G protein-coupled receptor signaling pathway,BP,FALSE
GO:0007264,0.014718961,3.4792433,2.081395349,6,28,small GTPase mediated signal transduction,BP,FALSE
GO:0009147,0.047319039,8.384180791,0.371677741,2,5,pyrimidine nucleoside triphosphate metabolic process,BP,TRUE
GO:0009148,0.047319039,8.384180791,0.371677741,2,5,pyrimidine nucleoside triphosphate biosynthetic process,BP,TRUE
GO:0009187,0.000865547,16.96,0.520348837,4,7,cyclic nucleotide metabolic process,BP,FALSE
GO:0009190,0.000865547,16.96,0.520348837,4,7,cyclic nucleotide biosynthetic process,BP,FALSE
GO:0009208,0.047319039,8.384180791,0.371677741,2,5,pyrimidine ribonucleoside triphosphate metabolic process,BP,TRUE
GO:0009209,0.047319039,8.384180791,0.371677741,2,5,pyrimidine ribonucleoside triphosphate biosynthetic process,BP,TRUE
GO:0015693,0.005497186,Inf,0.148671096,2,2,magnesium ion transport,BP,FALSE
GO:0016310,0.001133534,2.187341879,13.30606312,25,179,phosphorylation,BP,FALSE
GO:0019722,0.029836651,12.5819209,0.297342193,2,4,calcium-mediated signaling,BP,FALSE
GO:0019932,0.029836651,12.5819209,0.297342193,2,4,second-messenger-mediated signaling,BP,FALSE
GO:0019953,0.029836651,12.5819209,0.297342193,2,4,sexual reproduction,BP,TRUE
GO:0022414,0.01239498,5.638095238,0.966362126,4,13,reproductive process,BP,FALSE
GO:0023052,1.83E-09,4.193403028,10.92732558,33,147,signaling,BP,FALSE
