GOBPID,Pvalue,OddsRatio,ExpCount,Count,Size,Term,Category, Revigo_Eliminated
GO:0006082,2.04E-09,7.254545455,3.857142857,19,129,organic acid metabolic process,BP,FALSE
GO:0019752,2.04E-09,7.254545455,3.857142857,19,129,carboxylic acid metabolic process,BP,FALSE
GO:0043436,2.04E-09,7.254545455,3.857142857,19,129,oxoacid metabolic process,BP,FALSE
GO:0016053,1.62E-08,16.22019635,0.986710963,10,33,organic acid biosynthetic process,BP,TRUE
GO:0009073,1.22E-07,174.2537313,0.179401993,5,6,aromatic amino acid family biosynthetic process,BP,TRUE
GO:0006520,1.92E-07,7.177858439,2.6910299,14,90,cellular amino acid metabolic process,BP,TRUE
GO:0044283,1.40E-06,7.920554855,1.88372093,11,63,small molecule biosynthetic process,BP,FALSE
GO:0009072,8.10E-06,17.60606061,0.53820598,6,18,aromatic amino acid family metabolic process,BP,TRUE
GO:0044281,8.94E-06,3.664007976,7.684385382,21,257,small molecule metabolic process,BP,FALSE
GO:0046394,0.000129599,9.561983471,0.837209302,6,28,carboxylic acid biosynthetic process,BP,TRUE
GO:0006629,0.000399659,3.949533912,3.378737542,11,113,lipid metabolic process,BP,TRUE
GO:0006631,0.000428613,15.20915033,0.388704319,4,13,fatty acid metabolic process,BP,FALSE
GO:0006633,0.000823391,25.34782609,0.209302326,3,7,fatty acid biosynthetic process,BP,FALSE
GO:0006850,0.000881979,Inf,0.059800664,2,2,mitochondrial pyruvate transmembrane transport,BP,TRUE
GO:0006848,0.000881979,Inf,0.059800664,2,2,pyruvate transport,BP,FALSE
GO:1905039,0.000881979,Inf,0.059800664,2,2,carboxylic acid transmembrane transport,BP,FALSE
GO:1901475,0.000881979,Inf,0.059800664,2,2,pyruvate transmembrane transport,BP,FALSE
GO:1903825,0.000881979,Inf,0.059800664,2,2,organic acid transmembrane transport,BP,FALSE
GO:0032787,0.001194362,7.50486697,0.837209302,5,28,monocarboxylic acid metabolic process,BP,TRUE
GO:0072330,0.001892441,16.88405797,0.26910299,3,9,monocarboxylic acid biosynthetic process,BP,TRUE
GO:0098656,0.002594617,66.71428571,0.089700997,2,3,anion transmembrane transport,BP,TRUE
GO:0015711,0.002594617,66.71428571,0.089700997,2,3,organic anion transport,BP,FALSE
GO:0015718,0.002594617,66.71428571,0.089700997,2,3,monocarboxylic acid transport,BP,FALSE
GO:0015849,0.002594617,66.71428571,0.089700997,2,3,organic acid transport,BP,FALSE
GO:0009081,0.002594617,66.71428571,0.089700997,2,3,branched-chain amino acid metabolic process,BP,TRUE
GO:0046942,0.002594617,66.71428571,0.089700997,2,3,carboxylic acid transport,BP,FALSE
GO:0034728,0.005088801,33.34285714,0.119601329,2,4,nucleosome organization,BP,TRUE
GO:0006334,0.005088801,33.34285714,0.119601329,2,4,nucleosome assembly,BP,TRUE
GO:0031497,0.005088801,33.34285714,0.119601329,2,4,chromatin assembly,BP,FALSE
GO:0055085,0.005954525,2.704918033,4.694352159,11,157,transmembrane transport,BP,TRUE
GO:0006333,0.008317545,22.21904762,0.149501661,2,5,chromatin assembly or disassembly,BP,FALSE
GO:1901607,0.009008312,8.420289855,0.448504983,3,15,alpha-amino acid biosynthetic process,BP,FALSE
GO:1901605,0.012554652,5.030501089,0.926910299,4,31,alpha-amino acid metabolic process,BP,TRUE
GO:0008652,0.012898254,7.211180124,0.508305648,3,17,cellular amino acid biosynthetic process,BP,FALSE
GO:0006323,0.016800915,13.32,0.209302326,2,7,DNA packaging,BP,TRUE
GO:0006418,0.019099747,4.373814042,1.046511628,4,35,tRNA aminoacylation for protein translation,BP,TRUE
GO:0006508,0.020933421,2.213114754,5.591362126,11,187,proteolysis,BP,TRUE
GO:0043038,0.021011803,4.235294118,1.07641196,4,36,amino acid activation,BP,FALSE
GO:0043039,0.021011803,4.235294118,1.07641196,4,36,tRNA aminoacylation,BP,FALSE
