"","GOBPID","Pvalue","OddsRatio","ExpCount","Count","Size","Term"
"1","GO:0006518",0.00131464745231303,2.28363528363528,11.2487562189055,22,204,"peptide metabolic process"
"2","GO:0043043",0.00186180999984828,2.25428571428571,10.8076285240464,21,196,"peptide biosynthetic process"
"3","GO:0043603",0.0023280237094871,2.16669025045988,11.7450248756219,22,213,"cellular amide metabolic process"
"4","GO:0043604",0.00256020073893134,2.18645833333333,11.0833333333333,21,201,"amide biosynthetic process"
"5","GO:0006412",0.0029856339040149,2.19573138990109,10.4767827529022,20,190,"translation"
"6","GO:0006066",0.0074823741602197,10.4953846153846,0.441127694859038,3,8,"alcohol metabolic process"
"7","GO:0006613",0.0074823741602197,10.4953846153846,0.441127694859038,3,8,"cotranslational protein targeting to membrane"
"8","GO:0006614",0.0074823741602197,10.4953846153846,0.441127694859038,3,8,"SRP-dependent cotranslational protein targeting to membrane"
"9","GO:0045935",0.0074823741602197,10.4953846153846,0.441127694859038,3,8,"positive regulation of nucleobase-containing compound metabolic process"
"10","GO:1901615",0.00749523523371879,6.39323467230444,0.827114427860697,4,15,"organic hydroxy compound metabolic process"
"11","GO:0009081",0.00872855107956674,34.7786259541985,0.165422885572139,2,3,"branched-chain amino acid metabolic process"
"12","GO:0060249",0.0168272735260572,17.381679389313,0.220563847429519,2,4,"anatomical structure homeostasis"
"13","GO:0000723",0.0168272735260572,17.381679389313,0.220563847429519,2,4,"telomere maintenance"
"14","GO:0032200",0.0168272735260572,17.381679389313,0.220563847429519,2,4,"telomere organization"
"15","GO:0019751",0.0168272735260572,17.381679389313,0.220563847429519,2,4,"polyol metabolic process"
"16","GO:0006612",0.0195142169677755,6.55096153846154,0.606550580431177,3,11,"protein targeting to membrane"
"17","GO:0072599",0.0249877106188039,5.82051282051282,0.661691542288557,3,12,"establishment of protein localization to endoplasmic reticulum"
"18","GO:0045047",0.0249877106188039,5.82051282051282,0.661691542288557,3,12,"protein targeting to ER"
"19","GO:0071985",0.0270381212617486,11.5826972010178,0.275704809286899,2,5,"multivesicular body sorting pathway"
"20","GO:0070972",0.0312001259127211,5.23615384615385,0.716832504145937,3,13,"protein localization to endoplasmic reticulum"
"21","GO:0022900",0.0312001259127211,5.23615384615385,0.716832504145937,3,13,"electron transport chain"
"22","GO:0048519",0.0314440915772891,2.78615830915872,2.42620232172471,6,44,"negative regulation of biological process"
"23","GO:0048523",0.0397388996669777,3.50232558139535,1.32338308457711,4,24,"negative regulation of cellular process"
"24","GO:0043161",0.0458064621678992,4.35961538461538,0.827114427860697,3,15,"proteasome-mediated ubiquitin-dependent protein catabolic process"
"25","GO:0010498",0.0458064621678992,4.35961538461538,0.827114427860697,3,15,"proteasomal protein catabolic process"
