Phase,Gene,rep#,RelExpr
EarlyInf,HMI56_006544,1,5.078840571
EarlyInf,HMI56_006544,2,5.864393368
LateInf,HMI56_006544,1,8.005319606
LateInf,HMI56_006544,2,6.822608399
MiddleInf,HMI56_006544,1,6.433662357
MiddleInf,HMI56_006544,2,6.28898125
Sporangia0,HMI56_006544,1,3.463511638
Sporangia0,HMI56_006544,2,3.516852436
Sporangia24,HMI56_006544,1,7.17011616
Sporangia24,HMI56_006544,2,10.35951803
Sporangia36,HMI56_006544,1,10.52237245
Sporangia36,HMI56_006544,2,9.955864329
Sporangia48,HMI56_006544,1,12.1569876
Sporangia48,HMI56_006544,2,12.68150736
