Phase,Gene,rep#,RelExpr
EarlyInf,HMI56_000608,1,32.86536796
EarlyInf,HMI56_000608,2,25.57027091
LateInf,HMI56_000608,1,39.38302667
LateInf,HMI56_000608,2,40.59986889
MiddleInf,HMI56_000608,1,31.77471749
MiddleInf,HMI56_000608,2,31.36231274
Sporangia0,HMI56_000608,1,62.29329567
Sporangia0,HMI56_000608,2,64.4806352
Sporangia24,HMI56_000608,1,35.73718934
Sporangia24,HMI56_000608,2,58.29542085
Sporangia36,HMI56_000608,1,45.62747216
Sporangia36,HMI56_000608,2,41.35841327
Sporangia48,HMI56_000608,1,47.45272649
Sporangia48,HMI56_000608,2,57.24534659
