# BUSCO version is: 5.0.0 
# The lineage dataset is: eukaryota_odb10 (Creation date: 2020-09-10, number of species: 70, number of BUSCOs: 255)
# Busco id	Status	Sequence	Gene Start	Gene End	Strand	Score	Length
39650at2759	Complete	scaffold_795	129	7453	-	1808.2	1429
83779at2759	Complete	scaffold_1218	2970	4164	+	153.2	171
87842at2759	Complete	scaffold_2972	249	3323	+	164.1	381
97116at2759	Complete	scaffold_1614	2513	5629	+	706.4	670
100698at2759	Fragmented	scaffold_1667	3774	4892	-	490.0	269
142542at2759	Complete	scaffold_1006	276	7167	-	264.7	600
156083at2759	Complete	scaffold_737	326	9082	+	3603.1	1947
160593at2759	Missing
166920at2759	Complete	scaffold_2341	965	3691	+	382.5	622
176625at2759	Fragmented	scaffold_3619	11	2084	-	90.7	217
179362at2759	Complete	scaffold_647	4859	9503	-	667.7	1272
245208at2759	Complete	scaffold_93	3006	6566	-	1437.2	878
257318at2759	Complete	scaffold_2481	324	2273	+	273.7	304
261328at2759	Missing
261419at2759	Missing
270107at2759	Missing
271586at2759	Missing
290630at2759	Complete	scaffold_175	708	3846	+	522.6	548
293315at2759	Complete	scaffold_1039	1918	5370	+	591.1	601
296129at2759	Complete	scaffold_2443	433	3603	-	839.9	716
299766at2759	Complete	scaffold_947	4983	7467	-	359.5	387
306227at2759	Complete	scaffold_1375	2173	5750	+	463.4	488
320059at2759	Complete	scaffold_2198	2436	4218	+	858.9	451
324863at2759	Complete	scaffold_183	13368	15738	-	246.0	438
325552at2759	Complete	scaffold_258	9421	11584	-	350.9	399
330169at2759	Complete	scaffold_103	9174	10680	+	241.5	312
331411at2759	Missing
341721at2759	Complete	scaffold_1124	2021	3682	-	172.8	363
345441at2759	Complete	scaffold_582	6237	8448	-	429.1	378
355408at2759	Missing
369837at2759	Complete	scaffold_1099	531	2546	-	226.7	346
375960at2759	Fragmented	scaffold_6308	304	995	-	101.8	109
383503at2759	Complete	scaffold_256	3346	5204	-	289.6	330
388820at2759	Missing
390348at2759	Complete	scaffold_99	484	4122	+	869.7	701
392369at2759	Complete	scaffold_4870	57	1774	-	329.6	315
396755at2759	Complete	scaffold_3588	57	2187	+	176.2	464
418107at2759	Fragmented	scaffold_2566	3062	3652	-	184.9	168
426305at2759	Complete	scaffold_234	164	2635	+	272.4	441
450058at2759	Complete	scaffold_95	525	1517	-	101.9	196
453044at2759	Missing
457861at2759	Missing
464990at2759	Complete	scaffold_3000	735	2237	-	276.3	323
491869at2759	Complete	scaffold_978	5149	7506	-	152.0	263
513979at2759	Complete	scaffold_600	1352	3261	-	115.4	202
