Assembly	Coelomomyces_lativittatus_CIRM_AVA_1_Amber.scaffolds	Coelomomyces_lativittatus_CIRM_AVA_1_Orange.scaffolds	Coelomomyces_lativittatus_CIRM_AVA_1_Meiospore.scaffolds
# contigs (>= 0 bp)	6804	5437	5013
# contigs (>= 1000 bp)	6302	4825	4528
# contigs (>= 5000 bp)	1919	1230	1514
# contigs (>= 10000 bp)	637	349	465
# contigs (>= 25000 bp)	62	12	15
# contigs (>= 50000 bp)	19	0	0
Total length (>= 0 bp)	31297980	19985198	21922045
Total length (>= 1000 bp)	30915502	19522400	21561612
Total length (>= 5000 bp)	19940277	11033490	13985620
Total length (>= 10000 bp)	11079315	4940252	6688695
Total length (>= 25000 bp)	2942657	324313	432427
Total length (>= 50000 bp)	1465126	0	0
# contigs	6804	5437	5013
Largest contig	188121	30249	37025
Total length	31297980	19985198	21922045
GC (%)	35.15	32.34	32.33
N50	7007	5627	6695
N90	2067	1604	1998
L50	1188	1034	990
L90	4452	3626	3261
# N's per 100 kbp	510.62	362.42	101.61
