"","gene","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"1","HMI54_000208-T1",282.972043035512,2.13691322723665,0.28252867217639,61.7895539524017,2.43686716035551e-13,1.65625091614967e-12
"2","HMI54_000218-T1",400.544297772605,-1.1152587319824,0.237761746812022,38.2385043873935,2.51621057508037e-08,1.05234552179776e-07
"3","HMI54_000221-T1",943.750850771225,-1.53152752172311,0.208054467770078,100.544117093386,1.18712799519729e-21,1.50336950561475e-20
"4","HMI54_000228-T1",577.543269585696,-1.1382327052194,0.300094811836039,31.5957734277524,6.36743872853512e-07,2.3055346917687e-06
"5","HMI54_000230-T1",237.414918370457,-0.97898255951544,0.267314168913806,23.2959590861146,3.50344252320864e-05,0.000102829181656758
"6","HMI54_000233-T1",223.887040188791,2.19640845422362,0.285061985855748,68.8304231432233,7.59751120406073e-15,5.92313069225303e-14
"7","HMI54_000234-T1",140.573358339378,-1.4285707726544,0.277695792301095,34.2523673544163,1.75244275911788e-07,6.72542560626019e-07
"8","HMI54_000252-T1",2550.55461921917,0.947335736724543,0.173621315765881,50.6725806530279,5.74441350183171e-11,3.12286468094628e-10
"9","HMI54_000266-T1",716.13043141189,-1.64680444265616,0.198430446878072,98.9529296052238,2.60989460542148e-21,3.23584835997982e-20
"10","HMI54_000275-T1",107.307555601414,2.39292729607131,0.37390223990968,48.1010486549632,2.02660943911067e-10,1.03787786531937e-09
"11","HMI54_000277-T1",222.818342969348,1.73040105415997,0.303859219690661,35.0746437121282,1.17480520582901e-07,4.61693640961533e-07
"12","HMI54_000280-T1",486.714831576674,0.717673142182163,0.217243887879578,24.6766526083021,1.80406615296167e-05,5.50748868856885e-05
"13","HMI54_000287-T1",1348.12899113711,-1.85847402533873,0.179132569945144,172.28835446389,4.07968242143545e-37,1.23954619658396e-35
"14","HMI54_000299-T1",772.237732140811,-1.19836854476883,0.203061274449905,54.2006527954514,1.01676830972767e-11,5.92562395517556e-11
"15","HMI54_000300-T1",1356.32172625162,-2.1509695011273,0.175189199105496,242.360117664046,2.93846653661833e-52,1.93059762965685e-50
