# BUSCO version is: 5.0.0 
# The lineage dataset is: eukaryota_odb10 (Creation date: 2020-09-10, number of species: 70, number of BUSCOs: 255)
# Busco id	Status	Sequence	Gene Start	Gene End	Strand	Score	Length
39650at2759	Complete	scaffold_476	1007	8317	+	1808.2	1429
83779at2759	Complete	scaffold_60	13041	14235	-	153.2	171
87842at2759	Missing
97116at2759	Complete	scaffold_2261	3	2817	+	690.0	684
100698at2759	Fragmented	scaffold_194	9010	10128	-	490.0	269
142542at2759	Missing
156083at2759	Complete	scaffold_93	2342	9085	+	2796.8	1490
160593at2759	Missing
166920at2759	Complete	scaffold_483	1069	3795	+	382.5	622
176625at2759	Complete	scaffold_1517	120	1817	+	94.8	298
179362at2759	Complete	scaffold_259	994	5639	+	667.7	1272
245208at2759	Complete	scaffold_1165	1517	5077	+	1437.2	878
257318at2759	Complete	scaffold_750	4109	6056	-	273.7	304
261328at2759	Missing
261419at2759	Missing
270107at2759	Missing
271586at2759	Missing
290630at2759	Complete	scaffold_53	13056	16192	-	522.6	548
293315at2759	Complete	scaffold_700	1364	4816	+	591.1	601
296129at2759	Complete	scaffold_382	4670	7840	-	839.9	716
299766at2759	Complete	scaffold_643	4712	7191	+	353.7	389
306227at2759	Complete	scaffold_944	2280	4752	-	288.0	361
320059at2759	Complete	scaffold_581	2046	3827	-	858.9	451
324863at2759	Complete	scaffold_149	1344	3749	-	237.4	426
325552at2759	Missing
330169at2759	Complete	scaffold_361	4337	5843	-	241.5	312
331411at2759	Missing
341721at2759	Complete	scaffold_783	1729	3390	-	172.8	363
345441at2759	Complete	scaffold_1058	2536	3855	-	334.9	297
355408at2759	Complete	scaffold_2739	740	2350	-	497.7	420
369837at2759	Complete	scaffold_33	14594	17202	-	264.1	384
375960at2759	Fragmented	scaffold_644	2685	3566	+	148.5	164
383503at2759	Complete	scaffold_27	17232	19090	-	289.6	330
388820at2759	Missing
390348at2759	Complete	scaffold_18	4886	8524	+	869.7	701
392369at2759	Complete	scaffold_3244	190	1882	-	329.6	315
396755at2759	Complete	scaffold_1114	594	3523	-	231.0	662
418107at2759	Fragmented	scaffold_1680	3135	3725	-	184.9	168
426305at2759	Complete	scaffold_667	2193	4664	-	272.4	441
450058at2759	Complete	scaffold_1227	489	1481	-	101.9	196
453044at2759	Missing
457861at2759	Missing
464990at2759	Complete	scaffold_474	6917	8419	-	276.3	323
491869at2759	Complete	scaffold_307	6337	8216	-	108.2	258
513979at2759	Complete	scaffold_73	883	2791	-	115.4	202
543764at2759	Fragmented	scaffold_1063	2412	2600	-	28.1	33
549762at2759	Complete	scaffold_58	188	1739	+	398.2	272
